serial_nr,stationid,stationname,state,Element,Node
-,-,-,-,-,-
1,8410140,Eastport Passamaquoddy Bay,ME,2034577,1034613
2,8413320,Bar Harbor,ME,2287004,1162475
3,8418150,Portland,ME,2314208,1176249
4,8419317,Wells,ME,2327314,1182888
5,8443970,Boston,MA,1939516,991751
6,8447930,Woods Hole,MA,2482558,1268115
7,8449130,Nantucket Island,MA,2776207,1411509
8,8461490,New London,CT,2069180,1052139
9,8465705,New Heaven,CT,1612257,824413
10,8467150,Bridegport,CT,1435757,730946
11,8510560,Montauk,NY,2735627,1395009
12,8516945,Kings Point,NY,1858462,950489
13,8518750,The Battery,NY,2492332,1266674
14,8531680,Sandy Hook,NJ,2850609,1449501
15,8534720,Atlantic City,NJ,3069544,1562085
16,8536110,Cape May Ferry Terminal,NJ,3037239,1545989
17,8557380,Lewes,DE,3029952,1540535
18,8570283,Ocean City Inlet,MD,3103397,1579004
19,8635750,Lewisetta,VA,3449335,1753697
20,8638901,CBBT Chesapeake Channel,VA,3279047,1667208
21,8651370,Duck Pier,NC,3131547,1592136
22,8656483,Beaufort,NC,2778070,1416194
23,8658163,Wrightsville Beach,NC,2763936,1405214
24,8661070,Springmaid Pier,SC,2656217,1350289
25,8665530,Charleston Harbor,SC,2433160,1236589
26,8670870,Fort Pulaski,GA,2293165,1165583
27,8720030,Fernandina Beach,FL,2267403,1152522
28,8720218,Mayport (Bar Pilots Dock),FL,2372848,1212537
29,8721604,Trident Pier,FL,2450627,1251971
30,8722670,Lake Worth Pier,FL,2563721,1302999
31,8723214,Virginia Key,FL,2282941,1160390
32,8723970,Vaca Key,FL,1648296,843056
33,8724580,Key West,FL,1574829,805177
34,8725110,Naples,FL,1331538,677402
35,8726724,Clearwater Beach,FL,1262449,642196
36,8727520,Cedar Key,FL,1163961,594808
37,8729210,Panama City Beach,FL,1065459,549873
38,8729840,Pensacola,FL,987912,506871
39,8735180,Dauphin Island,AL,1084961,551721
40,8747437,Bay Waveland Yacht Club,MS,599413,310024
41,8760721,Pilottown,LA,1177269,598673
42,8761305,Shell Beach,LA,571973,296041
43,8761724,Grand Isle,LA,1166303,593088
44,8764314,Eugene Island North,LA,1135194,580635
45,8766072,Freshwater Canal Locks,LA,1083034,554724
46,8768094,Calcasieu Pass,LA,1010829,518411
47,8770822,Texas Point Sabine Pass,TX,969004,493081
48,8772471,Freeport SOIP Freeport Harbor,TX,883303,449717
49,8773767,Matagorda Bay Entrance Channel,TX,846783,435844
50,8775241,Aransas Aransas Pass,TX,854888,435338
51,8775870,Bob Hall Pier Corpus Christi,TX,855048,435421
52,8779748,South Padre Island Coast Guard Station,TX,927843,476631
