serial_nr,stationid,stationname,state,source,vertical_datum,NOAA lon,NOAA lat,navd_to_msl [ft],navd_to_msl [m],Datum Source,lon,lat,bathy,Element,Node
-,-,-,-,-,,deg,deg,ft,m,-,deg,deg,m MSL,-,-
1,2695540,Bermuda Esso Pier,BM,NOAA_NOS,MSL,-64.703306,32.373389,NaN,NaN,NOAA gage,-64.706404,32.366967,459.177859,2729901,1419124
2,8410140,Eastport Passamaquoddy Bay,ME,NOAA_NOS,MSL,-66.982315,44.903300,0.23,0.07,NOAA gage,-66.982762,44.904521,36.251416,1764853,919954
5,8418150,Portland,ME,NOAA_NOS,MSL,-70.245674,43.656700,0.32,0.10,NOAA gage,-70.23916,43.659319,11.419582,2005097,1045929
8,8443970,Boston,MA,NOAA_NOS,MSL,-71.038380,42.353920,0.30,0.09,NOAA gage,-70.995809,42.349118,4.452263,1754793,914726
13,8452660,Newport,RI,NOAA_NOS,MSL,-71.326700,41.505000,0.30,0.09,NOAA gage,-71.326706,41.503521,4.649902,3246566,1660861
15,8454000,Providence,RI,NOAA_NOS,MSL,-71.401700,41.806700,0.22,0.07,NOAA gage,-71.348062,41.723654,10.349325,1714652,893812
19,8467150,Bridegport,CT,NOAA_NOS,MSL,-73.181700,41.173300,0.22,0.07,NOAA gage,-73.179328,41.160298,4.882478,483042,255285
20,8510560,Montauk,NY,NOAA_NOS,MSL,-71.960000,41.048300,0.33,0.10,NOAA gage,-71.962518,41.048357,12.942831,2066201,1084515
22,8518750,The Battery,NY,NOAA_NOS,MSL,-74.014200,40.699296,0.20,0.06,NOAA gage,-74.036809,40.61006,1.542815,2356938,1228325
25,8531680,Sandy Hook,NJ,NOAA_NOS,MSL,-74.010000,40.466700,0.24,0.07,NOAA gage,-74.009664,40.467124,2.502563,2558972,1336543
35,8555889,Brandywine Shoal Light,DE,NOAA_NOS,MSL,-75.113300,38.985000,-0.30,-0.09,NOAA gage,-75.110677,38.984293,6.671114,2719056,1416930
36,8557380,Lewes,DE,NOAA_NOS,MSL,-75.119160,38.785756,0.40,0.12,NOAA gage,-75.121083,38.7852,3.616744,2794978,1452339
37,8570283,Ocean City Inlet,MD,NOAA_NOS,MSL,-75.091670,38.328330,0.36,0.11,NOAA gage,-75.09058,38.32697,3.71951,3256993,1501502
39,8571892,Cambridge,MD,NOAA_NOS,MSL,-76.068300,38.573300,0.09,0.03,NOAA gage,-76.151805,38.631716,13.46797,3098090,1606889
42,8574680,Baltimore,MD,NOAA_NOS,MSL,-76.578330,39.266670,0.03,0.01,NOAA gage,-76.450475,39.186705,6.961931,3111462,1613974
